Heading (H2),Subheading (P)
"प्रधानमन्त्री ओलीले भने - काम नहुँदा निरीह हेरेर हुँदैन, ठोस योजना चाहियो","नेपाल विद्युत् प्राधिकरण सञ्चालक समिति बैठकले डेडिकेटेड र ट्रंकलाइन विवादमा बक्यौता नतिर्ने उद्योगको बिजुली नकाट्ने निर्णय गरेको छ । ऊर्जा, जलस्रोत तथा सिँचाइमन्त्री दीपक खड्काको अध्यक्षतामा बुधबार बसेको बैठकले उद्योगमा बिजुली नकाट्ने निर्णय गरेको हो ।"
एमालेका पूर्वमन्त्री अधिकारीलाई उन्मुक्ति दिएकामा माओवादीको आपत्ति,सत्तारुढ कांग्रेसका सभापति एवं पूर्वप्रधानमन्त्री शेरबहादुर देउवाले युवाहरूलाई विदेशिनबाट रोक्न एसियाली मुलुकहरूको साझा अवधारणासहितको व्यवस्थापनको खाँचो रहेको औँल्याएका छन् ।
डेडिकेटेड र ट्रंकलाइन बक्यौता : कुन उद्योगले कति तिर्न बाँकी ? [सूचीसहित],प्रधानमन्त्री केपी शर्मा ओलीको औपचारिक चीन भ्रमणको गृहकार्य गर्न परराष्ट्रमन्त्री आरजु राणा देउवा बिहीबार चीन जाँदै छिन् । उनले चीनका विदेशमन्त्री वाङ यीसँग छेन्दु सहरमा शुक्रबार भेटवार्ता गर्ने कार्यक्रम छ ।
बक्यौता नतिर्ने ३४ उद्योगको खाता रोक्का गर्न राष्ट्र बैंकलाई घिसिङको पत्र,प्रधानमन्त्री केपी शर्मा ओलीले विद्यमान स्थितिमा परिवर्तन ल्याउने गरी प्रभावकारी काम गर्न मन्त्री र सचिवहरूलाई निर्देशन दिएका छन् ।
फोटो संग्रहालय स्थापनाका लागि सहयोग गर्न प्रधानमन्त्रीसँग माग,मानव तस्करी आरोपमा पक्राउ परेका कोशी प्रदेशका पूर्वआन्तरिक मामिला तथा कानुनमन्त्री लीलाबल्लभ अधिकारीलाई काठमाडौं जिल्ला सरकारी वकिलको कार्यालयले मुद्दा नचलाई उन्मुक्ति दिएकोमा माओवादी केन्द्रले आपत्ति जनाएको छ ।
स्वास्थ्य क्षेत्रमै सुधार आवश्यक : मन्त्री पौडेल,"नेपाल विद्युत् प्राधिकरणका कार्यकारी निर्देशक कुलमान घिसिङले लोडसेडिङका बेला डेडिकेटेड फिडर र ट्रंक लाइनबाट बिजुली लिएर महसुल नतिर्ने ३४ उद्योगको खाता रोक्का गर्न, सेयर कारोबार रोक्का गर्न र सेयर जारी गर्ने अनुमति रोक्का गर्न सम्बन्धित निकायलाई पत्राचार गरेका छन् ।"
युवाहरूलाई दक्षताअनुसार रोजगारी दिनुपर्छ : सभापति देउवा,नेपाल विद्युत् प्राधिकरणले लोडसेडिङको अवधिमा डेडिकेटेड फिडर र ट्रंकलाइनमार्फत विद्युत् उपभोग गरेको बक्यौता नतिर्ने ३४ उद्योगको खाता रोक्का गर्न नेपाल राष्ट्र बैंकलाई पत्राचार गरेको छ ।
उपनिर्वाचन भ्रष्टाचारविरुद्ध महाभियान : अध्यक्ष दाहाल,राष्ट्रिय फोटो पत्रकार समूह (एनएफपीजे) नेपालको नवनिर्वाचित कार्यसमितिले प्रधानमन्त्री केपी शर्मा ओलीसँग फोटो संग्रहालय स्थापना लगायतमा सहयोग गर्न माग गरेको छ ।
संविधानको मुलभूत विषयमा संशोधन हुँदैन : महामन्त्री थापा,स्वास्थ्य तथा जनसंख्यामन्त्री प्रदीप पौडेलले स्वास्थ्य क्षेत्रभित्रै समाजवाद र लोकतन्त्र रहेको हुँदा यसमा सुधार गरे जनसमुदायलाई सन्तुष्ट पार्न सकिने बताएका छन् ।
"जनसंख्याका मुद्दालाई आर्थिक, सामाजिक र राजनीतिक रणनीतिका रुपमा हेरिनुपर्छ : प्रधानमन्त्री ओली",कांग्रेसका सभापति एवं पूर्वप्रधानमन्त्री शेरबहादुर देउवाले युवालाई दक्षताअनुसारको रोजगारी दिनुपर्ने बताएका छन् ।छैटौँ एशियाली जनसङ्ख्या सम्मेलनको उद्घाटन सत्रलाई सम्बोधन गर्दै उनले विश्वको ६० प्रतिशत जनसंख्या रहेको दक्षिण एशियाका राष्ट्रहरुहरुले युवाहरुलाई उनीहरुको दक्षता अनुसारको व्यवस्थापन गर्नु जरुरी रहेको उल्लेख गरे ।
बाढीपहिरोको दुई महिना : सुरक्षित बासस्थानको माग गर्दै पीडित,माओवादी केन्द्रका अध्यक्ष पुष्पकमकल दाहालले यही मंसिर १६ मा तय भएको स्थानीय तह उपनिर्वाचनलाई भ्रष्टाचारविरुद्ध र सुशासनको अभियानको रुपमा लिएको उल्लेख गर्दै आफ्नो दलका उम्मेदवारलाई जिताउन आग्रह गरेका छन् ।
नेताहरू भन्छन् : 'राजनीतिमा महिलाको क्षमतालाई लिएर शंका गर्ने चलन कायम छ',नेपाली कांग्रेसका महामन्त्री गगन थापाले दुई ठूला दलको सातबुँदे सहमतिलाई संस्थागत गर्न नेपाली कांग्रेस र नेपाल कम्युनिष्ट पार्टी (एमाले) बीच राजनीतिक संयन्त्र बनेको बताएका छन् ।
नेवार संस्कृतिले नेपाली संस्कृतिलाई प्रतिविम्बित गर्छ : प्रधानमन्त्री,"प्रधानमन्त्री केपी शर्मा ओलीले जनसंख्याका मुद्दालाई आर्थिक, सामाजिक र राजनीतिक रणनीतिका रुपमा हेरिनुपर्ने बताएका छन् । छैटौँ एसियाली जनसंख्या सम्मेलनको आज उद्घाटन गर्दै उनले विकास र जनघनत्वका सहसम्बन्धलाई ध्यान दिएर सीमान्तकृत तथा विपन्न समुदायको सहज जीवनयापनका लागि आधारभूत आवश्यकताको परिपूर्ति गर्न सरकारका प्रयासहरु जारी रहेको बताए ।"
काठमाडौं उपत्यकाको तापक्रम निरन्तर घट्दो,बाढीपहिरोको गएको दुई महिना बितिसक्दा पुनःनिर्माण र आवासको व्यवस्था हुन नसकेको भन्दै जिल्लाका पीडितले सुरक्षित बासस्थानको माग गरेका छन् । जाडोयाम सुरु भएसँगै सुरक्षित बास आवश्यक पर्ने भएकाले स्थानीय सरकारसँग बासस्थानको व्यवस्था गर्न बाढीपहिरो पीडितले माग गरेका हुन् ।
उपनिर्वाचनमा दलहरूको ‘मध्यावधि परीक्षण’,"विभिन्न राजनीतिक दलका महिला नेताहरूले महिलाको क्षमतालाई लिएर अझैं प्रश्न उठिरहने गरेको बताएका छन् । मिडिया एडभोकेसी ग्रुपले बुधबार ललितपुरमा आयोजना गरेको 'राजनीतिमा महिला हिंसा' विषयक 'म बोल्छु' कार्यक्रममा कांग्रेस, एमाले र माओवादीका महिला नेताले आफ्नो अनुभव साझा गर्ने क्रममा महिलालाई दिइने जिम्मेवारीमा शंका गरिने बताएका हुन् ।"
निर्वाह भत्ता नबढाए आन्दोलनमा उत्रने आवासीय चिकित्सकको चेतावनी,प्रधानमन्त्री केपी शर्मा ओलीले नेपालका संस्कृतिहरुमध्ये नेवार संस्कृति सबैभन्दा विकसित संस्कृति भएको बताएका छन् ।
बीआरआई दस्ताबेजमा संशोधन गर्न कांग्रेसको प्रस्ताव,देशमा पश्चिमी वायुको सामान्य प्रभाव रहेको  बताउँदै जल तथा मौसम विज्ञान विभागले पहाडी भू–भागमा आंशिक बदली रही बाँकी भागमा मौसम सफा रहेको जनाएको छ । तराई र पहाडी भेगका केही स्थानमा हुस्सु लागेको छ ।
८० लाख बुझाएर अमेरिका पुगेका युवासहित दुई नेपालीले दुर्घटनामा गुमाए ज्यान,राजनीतिक दलहरूले स्थानीय तह उपनिर्वाचनलाई आफ्नो मध्यावधि जनमत परीक्षणका रूपमा लिएका छन् । स्थानीय तहको ५ वर्षे कार्यकालको आधा अवधि पूरा भएको बेला आगामी आइतबार स्थानीय तहका करिब साढे तीन दर्जनमा उपनिर्वाचन हुँदै छ । उपनिर्वाचनको नतिजाले आगामी निर्वाचनसम्मलाई प्रभाव पार्न सक्ने रहेकाले वडा तहको चुनावमा पनि दलहरू शक्ति केन्द्रित गरेर सक्रियतापूर्वक होमिएका छन् ।
सामाजिक सुरक्षा कोषमा १८ लाख श्रमिक आबद्ध,मेडिकल कलेजले मासिक निर्वाह भत्ता ४८ हजार दिनुपर्ने निर्णयबाट चिकित्सा शिक्षा आयोग पछि हटेपछि स्नातकोत्तरमा अध्ययनरत आवासीय (रेसिडेन्ट) चिकित्सकले आन्दोलनको चेतावनी दिएका छन् । निजी मेडिकल कलेजमा काम गर्ने आवासीय चिकित्सकहरूको निर्वाह भत्ता सरकारीसरह हुनुपर्ने अडान उनीहरूले दोहोर्‍याएका छन् ।
हडतालबाट पछि हटे निगमका पाइलट,सत्तारूढ कांग्रेस र एमालेले ‘बेल्ट एन्ड रोड इनिसिएटिभ (बीआरआई)’ कार्यान्वयन योजना सम्झौताका लागि चीनले पठाएको दस्ताबेजका विषयमा अझै साझा धारणा बनाउन सकेका छैनन् । चिनियाँ दस्ताबेज संशोधन गर्न दुवै दल तयार भए पनि त्यसमा समेटिनुपर्ने विषयमा मतैक्य बन्न सकेको छैन । ‘बीआरआई फ्रेमवर्क’ भित्रका परियोजनाका लागि अनुदान मात्रै लिने सवालमा भने दुई दलको मत मिलेको छ ।
कर्मचारीलाई मतदान गर्ने व्यवस्था मिलाउन निर्वाचन आयोगको आग्रह,अमेरिकाको भर्जिनियास्थित च्यान्टिलीमा भएको कार दुर्घटनामा दुई नेपाली युवाको ज्यान गएको छ । कमाउनका लागि ११ महिनाअघि अवैध बाटो हुँदै अमेरिका पुगेका रुकुम पश्चिमको आठबिसकोट नगरपालिका–७ औली गाउँका सुरेश केसी र पढाइका लागि छात्रवृत्ति पाएर अमेरिका पुगेका बर्दिया मधुवनका २२ वर्षीय विवेक सुवेदीको ज्यान गएको हो ।
एकीकृत समाजवादी कीर्तिपुरका मेयर उम्मेदवारले गरे माओवादीलाई समर्थन,रोजगारदाता र श्रमिकको सहमतिमा ल्याइएको योगदानमा आधारित सामाजिक सुरक्षा कोष कार्यान्वयनमा आएको ६ वर्ष बितिसक्दा १७ लाख ९४ हजार श्रमिक मात्र आबद्ध भएका छन् । त्यसमा सबैभन्दा ठूलो हिस्सा वैदेशिक रोजगारीमा जानेको छ । वैदेशिक रोजगारीमा जानेको कोषमा आबद्धता भए पनि नियमित योगदान छैन ।
सरकारी करका विरुद्ध आजपाले प्रदर्शन गर्ने,करारमा कार्यरत अस्थायी पाइलटहरूसरह तलब सुविधाको माग गर्दै बिहीबारदेखि उडानमा नगई बिदा बसेर हडतालमा उत्रिएका नेपाल वायुसेवा निगमका २२ जना पाइलटले आन्दोलन फिर्ता लिएका छन् ।
परराष्ट्रको कायममुकायम सचिवमा राई,निर्वाचन आयोगले आसन्न स्थानीय तहको उपनिर्वाचनमा सम्पूर्ण कर्मचारीलाई मतदानका दिन विशेष बिदा वा अन्य वैकल्पिक उपाय अपनाई मतदान गर्ने व्यवस्था मिलाउनका लागि नेपाल सरकारलाई लेखी पठाउने निर्णय भएको छ ।
संविधानअनुसार बन्न बाँकी कानुनहरूको सम्बन्धमा अध्ययन गर्न संसदीय उपसमिति गठन,कीर्तिपुर नगरपालिकाको उपनिर्वाचनमा एकीकृत समाजवादीका मेयर पदका उम्मेदवार भानु रिजालले माओवादीलाई समर्थन गर्ने जनाएका छन् । उनले आफ्नो उम्मेदवारी निष्कृय रहेको र माओवादी केन्द्रका उम्मेदवार प्राडा शिवशरण महर्जनलाई समर्थन गर्ने निर्णय गरेको बताएका छन् ।
"अस्थायी, ज्यालादारी कर्मचारीलाई पनि सामाजिक सुरक्षा कोषमा ल्याउने प्रधानमन्त्रीको प्रतिबद्धता",सांसद प्रभु साह अध्यक्ष रहेको आम जनता पार्टी (आजपा)ले सरकारले मनोमानी कर लगाएको भन्दै विरोध गर्ने निर्णय गरेको छ । काठमाडौंमा बसेको आजपाको स्थायी कमिटी बैठकले काठमाडौंमा सरकारको मनोमानी कर लगाउने निर्णयविरुद्ध विरोध प्रदर्शन गर्ने निर्णय गरेको हो ।
काम छाडेर सडकमा उत्रने आवासीय चिकित्सकहरुको चेतावनी,अमृतकुमार राईले परराष्ट्र मन्त्रालयमा कायममुकायम सचिवको जिम्मेवारी पाएका छन् । परराष्ट्र मन्त्रालयकी सचिव सेवा लम्साल बेल्जियमका लागि राजदूत नियुक्त भएपछि मन्त्रालयका वरिष्ठ सहसचिव राईलाई कामु सचिवको जिम्मेवारी दिइएको हो ।
आर्थिक कूटनीतिलाई प्राथमिकतामा राखेर काम गर्न परराष्ट्रमन्त्री राणाको आग्रह,राष्ट्रिय सभा अन्तर्गतको विधायन व्यवस्थापन समितिले संविधानअनुसार बन्न बाँकी कानुनहरू सम्बन्धमा अध्ययन गर्न उपसमिति गठन गरेको छ ।
सामाजिक सुरक्षाको दायरालाई विस्तार गरिनेछ : प्रधानमन्त्री,"प्रधानमन्त्री केपी शर्मा ओलीले अस्थायी, ज्यालादारी कर्मचारीलाई पनि सामाजिक सुरक्षाको दायरामा ल्याउने घोषणा गरेका छन् ।केही दिन मात्रै काम गरेको भएपनि अस्थायी र ज्यालादारी कर्मचारीहरुले पनि सामाजिक सुरक्षा पाउनुपर्ने नियम लागू हुने उनले जानकारी दिए ।"
सामाजिक सुरक्षा काेषमा १७ लाखभन्दा बढी श्रमिक आबद्ध,सरकारीसरह मासिक न्यूनतम ४८ हजार निर्वाह भत्ता नपाए काम छाडेर सडकमा उत्रने चेतावनी आवासीय चिकित्सकहरुले दिएका छन् । मंगलबार आवासीय चिकित्सकहरुको ६ वटा संघसंस्थाले सामूहिक विज्ञप्ति जारी गर्दै निजी मेडिकल कलेजमा काम गर्ने आवासीय चिकित्सकहरुको निर्वाह भत्ता सरकारीसरह हुनुपर्ने बताएका हुन् ।
बीआरआई परियोजनालाई सरकारले ऋणको रुपमा ग्रहण गर्दैन :  सञ्चारमन्त्री,परराष्ट्रमन्त्री आरजु राणा देउवाले आर्थिक कूटनीतिलाई प्राथमिकतामा राखी यसको विस्तार एवं प्रवर्द्धन गर्न नेपालका नवनियुक्त राजदूत एवं निर्यात व्यवसायीहरुलाई आग्रह गरेकी छन् ।
कूटनीतिक र विशेष राहदानी प्रयोग गरेर आफूखुसी जाने कर्मचारीलाई अंकुश लगाउने तयारी,प्रधानमन्त्री केपी शर्मा ओलीले सरकारले सामाजिक सुरक्षाको दायरालाई विस्तार गर्ने घोषणा गरेका छन् ।
तानसेनको छापगाउँमा फलामखानीको उत्खनन् अध्ययन गर्न माग,"सामाजिक सुरक्षा कोषमा आन्तरिक र वैदेशिक रोजगारीमा रहेका १७ लाख ९४ हजार श्रमिक आबद्ध भएका छन् । कोषले औपचारिक, अनौपचारिक र वैदेशिक रोजगारीमा जाने श्रमिकलाई यसमा आबद्ध गराउँदै आएको छ ।"
"अब कसैले अनाथ भएँ भन्नु पर्दैन, सरकार साथमा छ : प्रधानमन्त्री ओली",नेपाल सरकारका प्रवक्ता एवं सञ्चार तथा सूचना प्रविधिमन्त्री पृथ्वी सुब्बा गुरुङले बेल्ट एन्ड रोड इनिसियटिभ (बीआरआई) परियोजनालाई सरकारले ऋणको रुपमा ग्रहण नगर्ने बताए ।
आवासीय चिकित्सकलाई भत्ता थप्ने निर्णयबाट पछि हट्यो आयोग,सरकारले जनप्रतिनिधि र कर्मचारीले सरकारी कामकाजबाहेक अन्य भ्रमणका क्रममा विशेष तथा कूटनीतिक पासपोर्ट प्रयोग गरेर जथाभावी विदेश जाने प्रवृत्ति रोक्ने तयारी गरेको छ । मुख्य सचिव एकनारायण अर्यालको अध्यक्षतामा गत साता बसेको सचिवहरूको बैठकले विदेश भ्रमणसम्बन्धी कार्यविधि नै परिवर्तन गर्न परराष्ट्र मन्त्रालयलाई जिम्मेवारी तोकेपछि यसको तयारी सुरु गरिएको हो ।
आजको मौसम : तराईका केही स्थानमा हल्का हुस्सु,"तानसेन नगरपालिका–८, छापगाउँकी फूलमाया विकको बारीमा अझै पनि वर्षौअघि फलाम प्रशोधन गरेको असर देखिन्छ । हलगोरु लगाएर जोत्नै नसकिने, ट्याक्टर लगाउँदा फलाम प्रशोधनपछि छाडिएका किटले असर गर्ने गरेको हो । अन्नबाली लगाउन कोदाली लगाउँदा निकै अप्ठेरो हुने उनको गुनासो छ । त्यसको असर मल थोरै राख्यो भने अन्नबाली नै हुँदैन । ‘जति खन्यो उति भेटिन्छ,’ उनले भनिन्, ‘जसले गर्दा अन्न लगाउने बेलामा धेरै समस्या हुन्छ ।’"
माल्टामा सञ्चालन हुने घुम्ती शिविर स्थगित,प्रधानमन्त्री केपी शर्मा ओलीले वर्तमान सरकार सामाजिक सुरक्षाको बृहत्तर र परिपूर्ण अवधारणालाई अगाडि बढाउन प्रतिबद्ध रहेको बताएका छन् । सातौँ सामाजिक सुरक्षा दिवसका अवसरमा आज शुभकामना दिँदै उनले सामाजिक सुरक्षा योजनालाई व्यवस्थित ढङ्गले सञ्चालन र त्यसलाई पूर्णता दिन सरकारको ध्यान केन्द्रित भएको बताएका हुन् ।
सर्वोच्चमा ४ र उच्चमा १८ न्यायाधीश पद रिक्त,स्नातकोत्तरमा अध्ययनरत आवासीय (रेसिडेन्ट) चिकित्सकलाई मेडिकल कलेजले मासिक भत्ता बढाएर ४८ हजार पुर्‍याउनुपर्ने निर्णयबाट चिकित्सा शिक्षा आयोग पछि हटेको छ । प्रधानमन्त्री एवं आयोग अध्यक्ष केपी शर्मा ओलीको निर्देशनपछि कलेजले निर्वाह भत्ता बढाउनुपर्ने यसअघिको आफ्नो निर्णयबाट आयोग पछि हटेको हो ।
बीआरआईमा दलहरू विभाजित,हाल देशमा पश्चिमी वायुको सामान्य प्रभावका कारण पहाडी भूभागमा आंशिक बदली रही बाँकी भूभागमा मौसम सफा रहने छ । तराईका केही स्थानमा हल्का हुस्सु लागेको जल तथा मौसम विज्ञान विभागले जनाएको छ ।
एमालेले बुझ्न नमानेपछि महानगरले हुलाक र इमेलबाट पठायो जरिवाना पत्र,माल्टामा सञ्चालन हुने घुम्ती शिविर स्थगन गरिएको छ ।राहदानी प्रणालीमा प्राविधिक समस्या उत्पन्न भएको जनाउँदै  माल्टामा हुने घुम्ती शिविर स्थगन गरिएको स्पेनस्थित नेपाली दूतावासले जनाएको छ । माल्टाको बिरकिरकरामा यही मङ्सिर १५ गतेदेखि १९ सम्म शिविर सञ्चालन गरिने तयारी गरिएको थियो ।
स्वर्णलक्ष्मी सहकारी ठगीमा बयान लिन लामिछानेलाई काठमाडौं पुर्‍याइँदै,सर्वोच्च र उच्च अदालतमा लामो समयदेखि रिक्त न्यायाधीश पदमा नियुक्ति हुन नसक्दा न्याय सेवा प्रभावित भएको छ । सर्वोच्चमा ४ र उच्च अदालतमा १८ न्यायाधीश पद रिक्त छ । ती पदमा नियुक्तिका लागि न्याय परिषद्को बैठक पटक–पटक बसे पनि प्रक्रिया अघि बढ्न सकेको छैन ।
"किर्ते कागज बनाएर मान्छे जापान लैजाने मन्त्रीलाई चैन, पैसा बुझाएर जाने युवालाई ऐन","प्रधानमन्त्री केपी शर्मा ओलीको आसन्न चीन भ्रमणमा बेल्ट एन्ड रोड इनिसियटिभ (बीआरआई) परियोजनाको कार्यान्वयन सम्झौताको विषयमा दलहरू विभाजित भएका छन् । एमालेसँग सत्ता गठबन्धनमा रहेको कांग्रेस बीआरआई अघि बढाउन इच्छुक देखिएको छैन । एमाले, माओवादी, एकीकृत समाजवादी भने ओलीको चीन भ्रमणमा बीआरआई कार्यान्वयन सम्झौता गर्नुपर्ने पक्षमा छन् ।"
अनलाइन अवरुद्ध हुँदा एक सातादेखि राहदानी वितरण प्रभावित,सरकारको नेतृत्व गरिरहेको एमालेले गत मंसिर ७ (शुक्रबार) मा दरबारमार्गमा जागरणसभा आयोजना गर्‍यो । सभाका कारण सार्वजनिक स्थानमा फोहोरमैला भएको भन्दै काठमाडौं महानगरले एक लाख रुपैयाँ जरिवाना तिराउने निर्णय गर्‍यो । उक्त निर्णयबारे पत्र बुझाउन महानगर प्रहरी बलको टोली आइतबार एमाले पार्टी कार्यालय च्यासल पुगेको थियो ।एमालेले पत्र बुझ्न अस्वीकार गरेपछि महानगरले सोमबार हुलाक र इमेलबाट जरिवाना पत्र पठाएको छ ।
एकैदिन तोलामा १६ हजार रुपैयाँले घट्दा ढिक्का सुन खरिद गर्न चाहने धेरै,सहकारी ठगी प्रकरणमा अनुसन्धानका लागि कास्की प्रहरीको हिरासतमा रहेका राष्ट्रिय स्वतन्त्र पार्टी (रास्वपा) का सभापति रवि लामिछानेलाई मंगलबार काठमाडौं पुर्‍याइने भएको छ । पोखराको सूर्यदर्शन सहकारीसँग सम्बन्धित बयान सकिएकाले काठमाडौंको कालिमाटीस्थित स्वर्णलक्ष्मी सहकारी ठगीसँग सम्बन्धित रहेर थप बयान लिन उनलाई काठमाडौं लैजान लागिएको हो ।
रिहा भए कोशी प्रदेशका पूर्वमन्त्री लिलाबल्लभ अधिकारी,मानव तस्करी आरोपमा पक्राउ परेका कोशी प्रदेशका पूर्वआन्तरिक मामिला तथा कानुनमन्त्री लीलाबल्लभ अधिकारीलाई काठमाडौं जिल्ला सरकारी वकिलको कार्यालयले मुद्दा नचलाई उन्मुक्ति दिएको छ । अधिकारीसँग जापान पुगेर फर्काइएका ३ युवासहित ११ जनाविरुद्ध भने सोमबार मुद्दा दायर भएको छ । जबकि प्रहरीले बाह्रै जनाविरुद्ध किर्ते र मानव तस्करीमा मुद्दा चलाउन आइतबार प्रतिवेदन दिएको थियो ।
